段落,小句,内容
1.1,0,穆王將征犬戎，祭公謀父諫曰：不可
1.1,1,先王耀德不觀兵
1.1,2,夫兵戢而時動，動則威，觀則玩，玩則無震
1.1,3,是故周文公之頌曰：載戢干戈，載櫜弓矢
1.1,4,我求懿德，肆于時夏，允王保之
1.1,5,先王之於民也，懋正其德而厚其性，阜其財求而利其器用，明利害之鄉，以文修之，使務利而避害，懷德而畏威，故能保世以滋大
1.1,6,昔我先王世后稷，以服事虞夏
1.1,7,及夏之衰也，棄稷不務，我先王不窋用失其官，而自竄于戎狄之閒，不敢怠業，時序其德，纂修其緒，修其訓典，朝夕恪勤，守以敦篤，奉以忠信，奕世載德，不忝前人
1.1,8,至于武王，昭前之光明而加之以慈和，事神保民，莫弗欣喜
1.1,9,商王帝辛，大惡於民
1.1,10,庶民不忍，欣戴武王，以致戎于商牧
1.1,11,是先王非務武也，勤恤民隱而除其害也
1.1,12,夫先王之制：邦内甸服，邦外侯服，侯衛賓服，蠻夷要服，戎狄荒服
1.1,13,甸服者祭，侯服者祀，賓服者享，要服者貢，荒服者王
1.1,14,日祭月祀時享歲貢終王，先王之訓也
1.1,15,有不祭則修意，有不祀則修言，有不享則修文，有不貢則修名，有不王則修德，序成而有不至則修刑
1.1,16,於是乎有刑不祭，伐不祀，征不享，讓不貢，告不王
1.1,17,於是乎有刑罰之辟，有攻伐之兵，有征討之備，有威讓之令，有文告之辭
1.1,18,布令陳辭而又不至，則增修於德而無勤民於遠，是以近無不聽，遠無不服
1.1,19,今自大畢伯士之終也，犬戎氏以其職來王，天子曰：予必以不享征之，且觀之兵
1.1,20,其無乃廢先王之訓而王幾頓乎
1.1,21,吾聞夫犬戎樹惇，帥舊德而守終純固，其有以禦我矣
1.1,22,王不聽，遂征之，得四白狼四白鹿以歸
1.1,23,自是荒服者不至
1.2,0,恭王遊於涇上，密康公從，有三女奔之
1.2,1,其母曰：必致之於王
1.2,2,夫獸三爲群，人三爲衆，女三爲粲
1.2,3,王田不取群，公行下衆，王御不參一族
1.2,4,夫粲，美之物也
1.2,5,衆以美物歸女，而何德以堪之
1.2,6,王猶不堪，況爾小醜乎
1.2,7,小醜備物，終必亡
1.2,8,康公不獻
1.2,9,一年，王滅密
1.3,0,厲王虐，國人謗王
1.3,1,邵公告曰：民不堪命矣
1.3,2,王怒，得衛巫，使監謗者，以告，則殺之
1.3,3,國人莫敢言，道路以目
1.3,4,王喜，告邵公曰：吾能弭謗矣，乃不敢言
1.3,5,邵公曰：是障之也
1.3,6,防民之口，甚於防川
1.3,7,川壅而潰，傷人必多，民亦如之
1.3,8,是故爲川者決之使導，爲民者宣之使言
1.3,9,故天子聽政，使公卿至於列士獻詩，瞽獻曲，史獻書，師箴，瞍賦，矇誦，百工諫，庶人傳語，近臣盡規，親戚補察，瞽史教誨，耆艾修之，而後王斟酌焉，是以事行而不悖
1.3,10,民之有口，猶土之有山川也，財用於是乎出
1.3,11,猶其有原隰衍沃也，衣食於是乎生
1.3,12,口之宣言也，善敗於是乎興，行善而備敗，其所以阜財用衣食者也
1.3,13,夫民慮之於心而宣之於口，成而行之，胡可壅也
1.3,14,若壅其口，其與能幾何
1.3,15,王不聽，於是國莫敢出言，三年，乃流王於彘
1.4,0,厲王説榮夷公，芮良夫曰：王室其將卑乎
1.4,1,夫榮公好專利而不知大難
1.4,2,夫利，百物之所生也，天地之所載也，而或專之，其害多矣
1.4,3,天地百物，皆將取焉，胡可專也
1.4,4,所怒甚多，而不備大難，以是教王，王能久乎
1.4,5,夫王人者，將導利而布之上下者也，使神人百物無不得其極，猶日怵惕，懼怨之來也
1.4,6,故頌曰：思文后稷，克配彼天
1.4,7,立我蒸民，莫匪爾極
1.4,8,大雅曰：陳錫載周
1.4,9,是不布利而懼難乎
1.4,10,故能載周，以至于今
1.4,11,今王學專利，其可乎
1.4,12,匹夫專利，猶謂之盜，王而行之，其歸鮮矣
1.4,13,榮公若用，周必敗
1.4,14,既，榮公爲卿士，諸侯不享，王流于彘
1.5,0,彘之亂，宣王在邵公之宫，國人圍之
1.5,1,邵公曰：昔吾驟諫王，王不從，是以及此難
1.5,2,今殺王子，王其以我爲懟而怒乎
1.5,3,夫事君者險而不懟，怨而不怒，況事王乎
1.5,4,乃以其子代宣王，宣王長而立之
1.6,0,宣王即位，不籍千畝
1.6,1,虢文公諫曰：不可
1.6,2,夫民之大事在農，上帝之粢盛於是乎出，民之蕃庶於是乎生，事之供給於是乎在，和協輯睦於是乎興，財用蕃殖於是乎始，敦厖純固於是乎成，是故稷爲大官
1.6,3,古者，太史順時覛土，陽癉憤盈，土氣震發，農祥晨正，日月底于天廟，土乃脈發
1.6,4,先時九日，太史告稷曰：自今至于初吉，陽氣俱蒸，土膏其動
1.6,5,弗震弗渝，脈其滿眚，穀乃不殖
1.6,6,稷以告王曰：史帥陽官以命我司事曰：距今九日，土其俱動，王其祗祓，監農不易
1.6,7,王乃使司徒咸戒公卿百吏庶民，司空除壇于籍，命農大夫咸戒農用
1.6,8,先時五日，瞽告有協風至，王即齋宫，百官御事，各即其齋三日
1.6,9,王乃淳濯饗醴，及期，鬱人薦鬯，犧人薦醴，王祼鬯，饗醴乃行，百吏庶民畢從
1.6,10,及籍，后稷監之，膳夫農正陳籍禮，太史贊王，王敬從之
1.6,11,王耕一墢，班三之，庶民終于千畝
1.6,12,其后稷省功，太史監之
1.6,13,司徒省民，太師監之
1.6,14,畢，宰夫陳饗，膳宰監之
1.6,15,膳夫贊王，王歆大牢，班嘗之，庶人終食
1.6,16,是日也，瞽帥音官以風土
1.6,17,廩于籍東南，鍾而藏之，而時布之于農
1.6,18,稷則徧誡百姓，紀農協功，曰：陰陽分布，震雷出滯
1.6,19,土不備墾，辟在司寇
1.6,20,乃命其旅曰：徇，農師一之，農正再之，后稷三之，司空四之，司徒五之，太保六之，太師七之，太史八之，宗伯九之，王則大徇
1.6,21,耨穫亦如之
1.6,22,民用莫不震動，恪恭于農，修其疆畔，日服其鎛，不解于時，財用不乏，民用和同
1.6,23,是時也，王事唯農是務，無有求利於其官，以干農功，三時務農而一時講武，故征則有威，守則有財
1.6,24,若是，乃能媚於神而和於民矣，則享祀時至而布施優裕也
