段落,小句,内容
1.1,0,秦興師臨周而求九鼎，周君患之，以告顏率
1.1,1,顏率曰：大王勿憂，臣請東借救於齊
1.1,2,顏率至齊，謂齊王曰：夫秦之爲無道也，欲興兵臨周而求九鼎，周之君臣，內自盡計，與秦，不若歸之大國
1.1,3,夫存危國，美名也
1.1,4,得九鼎，厚寶也
1.1,5,願大王圖之
1.1,6,齊王大悅，發師五萬人，使陳臣思將以救周，而秦兵罷
1.1,7,齊將求九鼎，周君又患之
1.1,8,顏率曰：大王勿憂，臣請東解之
1.1,9,顏率至齊，謂齊王曰：周賴大國之義，得君臣父子相保也，願獻九鼎，不識大國何塗之從而致之齊
1.1,10,齊王曰：寡人將寄徑於梁
1.1,11,顏率曰：不可
1.1,12,夫梁之君臣欲得九鼎，謀之暉臺之下，少海之上，其日久矣
1.1,13,鼎入梁，必不出
1.1,14,齊王曰：寡人將寄徑於楚
1.1,15,對曰：不可
1.1,16,楚之君臣欲得九鼎，謀之於葉庭之中，其日久矣
1.1,17,若入楚，鼎必不出
1.1,18,王曰：寡人終何塗之從而致之齊
1.1,19,顏率曰：弊邑固竊爲大王患之
1.1,20,夫鼎者，非效䤈壺醬甀耳，可懷挾提挈以至齊者
1.1,21,非效鳥集烏飛，兔興馬逝，灕然止於齊者
1.1,22,昔周之伐殷，得九鼎，凡一鼎而九萬人輓之，九九八十一萬人，士卒師徒，器械被具，所以備者稱此
1.1,23,今大王縱有其人，何塗之從而出
1.1,24,臣竊爲大王私憂之
1.1,25,齊王曰：子之數來者，猶無與耳
1.1,26,顏率曰：不敢欺大國，疾定所從出，弊邑遷鼎以待命
1.1,27,齊王乃止
1.2,0,秦攻宜陽，周君謂趙累曰：子以爲何如
1.2,1,對曰：宜陽必拔也
1.2,2,君曰：宜陽城方八里，材士十萬，粟支數年，公仲之軍二十萬，景翠以楚之衆，臨山而救之，秦必無功
1.2,3,對曰：甘茂，羈旅也，攻宜陽而有功，則周公旦也
1.2,4,無功，則削迹於秦
1.2,5,秦王不聽羣臣父兄之義而攻宜陽，宜陽不拔，秦王恥之
1.2,6,臣故曰拔
1.2,7,君曰：子爲寡人謀，且柰何
1.2,8,對曰：君謂景翠曰：公爵爲執圭，官爲柱國，戰而勝，則無加焉矣
1.2,9,不勝，則死
1.2,10,不如背秦援宜陽
1.2,11,公進兵，秦恐公之乘其弊也，必以寶事公
1.2,12,公中慕公之爲己乘秦也，亦必盡其寶
1.2,13,秦拔宜陽，景翠果進兵
1.2,14,秦懼，遽效煑棗，韓氏果亦效重寶
1.2,15,景翠得城於秦，受寶於韓，而德東周
1.3,0,東周與西周戰，韓救西周
1.3,1,爲東周謂韓王曰：西周者，故天子之國也，多名器重寶
1.3,2,案兵而勿出，可以德東周，西周之寶可盡矣
1.4,0,東周與西周爭，西周欲和於楚韓
1.4,1,齊明謂東周君曰：臣恐西周之與楚韓寶，令之爲己求地於東周也
1.4,2,不如謂楚韓曰，西周之欲入寶，持二端
1.4,3,今東周之兵不急西周，西周之寶不入楚韓
1.4,4,楚韓欲得寶，即且趣我攻西周
1.4,5,西周寶出，是我爲楚韓取寶以德之也，西周弱矣
