段落,小句,内容
隱0.0,0,惠公元妃孟子
隱0.0,1,孟子卒，繼室以聲子，生隱公
隱0.0,2,宋武公生仲子
隱0.0,3,仲子生而有文在其手，曰爲魯夫人，故仲子歸于我
隱0.0,4,生桓公而惠公薨，是以隱公立而奉之
隱1.1,0,元年春，王周正月，不書即位，攝也
隱1.2,0,三月，公及邾儀父盟于蔑─邾子克也
隱1.2,1,未王命，故不書爵
隱1.2,2,曰儀父，貴之也
隱1.2,3,公攝位而欲求好於邾，故爲蔑之盟
隱1.3,0,夏四月，費伯帥師城郎
隱1.3,1,不書，非公命也
隱1.4,0,初，鄭武公娶于申，曰武姜，生莊公及共叔段
隱1.4,1,莊公寤生，驚姜氏，故名曰寤生，遂惡之
隱1.4,2,愛共叔段，欲立之
隱1.4,3,亟請於武公，公弗許
隱1.5,0,秋七月，天王使宰咺來歸惠公仲子之賵
隱1.5,1,緩，且子氏未薨，故名
隱1.5,2,天子七月而葬，同軌畢至
隱1.5,3,諸侯五月，同盟至
隱1.5,4,大夫三月，同位至
隱1.5,5,士踰月，外姻至
隱1.5,6,贈死不及尸，弔生不及哀，豫凶事，非禮也
隱1.6,0,八月，紀人伐夷
隱1.6,1,夷不告，故不書
隱1.7,0,有蜚
隱1.7,1,不爲災，亦不書
隱1.8,0,惠公之季年，敗宋師于黃
隱1.8,1,公立而求成焉
隱1.8,2,九月，及宋人盟于宿，始通也
隱1.9,0,冬十月庚申，改葬惠公
隱1.9,1,公弗臨，故不書
隱1.9,2,惠公之薨也，有宋師，大子少，葬故有闕，是以改葬
隱1.10,0,衛侯來會葬，不見公，亦不書
隱1.11,0,鄭共叔之亂，公孫滑出奔衛
隱1.11,1,衛人爲之伐鄭，取廩延
隱1.11,2,鄭人以王師虢師伐衛南鄙
隱1.11,3,請師於邾，邾子使私於公子豫
隱1.11,4,豫請往，公弗許，遂行，及邾人鄭人盟于翼
隱1.11,5,不書，非公命也
隱1.12,0,新作南門，不書，亦非公命也
隱1.13,0,十二月，祭伯來，非王命也
隱1.14,0,衆父卒，公不與小斂，故不書日
隱2.1,0,二年春，公會戎于潛，修惠公之好也
隱2.1,1,戎請盟，公辭
隱2.2,0,莒子娶于向，向姜不安莒而歸
隱2.2,1,夏，莒人入向，以姜氏還
隱2.3,0,司空無駭入極，費庈父勝之
隱2.4,0,戎請盟
隱2.4,1,秋，盟于唐，復修戎好也
隱2.5,0,九月，紀裂繻來逆女，卿爲君逆也
隱2.6,0,冬，紀子帛莒子盟于密，魯故也
隱2.7,0,鄭人伐衛，討公孫滑之亂也
隱3.1,0,三年春，王三月，壬戌，平王崩
隱3.1,1,赴以庚戌，故書之
隱3.2,0,夏，君氏卒
隱3.2,1,─聲子也
隱3.2,2,不赴于諸侯，不反哭于寢，不祔于姑，故不曰薨
隱3.2,3,不稱夫人，故不言葬，不書姓
隱3.2,4,爲公故，曰君氏
隱3.3,0,鄭武公莊公爲平王卿士
隱3.3,1,王貳于虢
隱3.3,2,鄭伯怨王
隱3.3,3,王曰：無之
隱3.3,4,故周鄭交質
隱3.3,5,王子狐爲質於鄭，鄭公子忽爲質於周
隱3.3,6,王崩，周人將畀虢公政
隱3.3,7,四月，鄭祭足帥師取溫之麥
隱3.3,8,秋，又取成周之禾
隱3.3,9,周鄭交惡
隱3.3,10,君子曰：信不由中，質無益也
隱3.3,11,明恕而行，要之以禮，雖無有質，誰能間之
隱3.3,12,苟有明信，澗溪沼沚之毛，蘋蘩薀藻之菜，筐筥錡釜之器，潢汙行潦之水，可薦於鬼神，可羞於王公，而況君子結二國之信，行之以禮，又焉用質
隱3.3,13,風有采蘩采蘋，雅有行葦泂酌，昭忠信也
隱3.4,0,武氏子來求賻，王未葬也
隱3.5,0,宋穆公疾，召大司馬孔父而屬殤公焉，曰：先君舍與夷而立寡人，寡人弗敢忘
隱3.5,1,若以大夫之靈，得保首領以沒
隱3.5,2,先君若問與夷，其將何辭以對
隱3.5,3,請子奉之，以主社稷
隱3.5,4,寡人雖死，亦無悔焉
隱3.6,0,冬，齊鄭盟于石門，尋盧之盟也
隱3.6,1,庚戌，鄭伯之車僨于濟
隱3.7,0,衛莊公娶于齊東宮得臣之妹，曰莊姜，美而無子，衛人所爲賦碩人也
隱3.7,1,又娶于陳，曰厲嬀，生孝伯，早死
隱3.7,2,其娣戴嬀，生桓公，莊姜以爲己子
隱3.7,3,公子州吁，嬖人之子也
隱3.7,4,有寵而好兵，公弗禁
隱3.7,5,莊姜惡之
隱3.7,6,石碏諫曰：臣聞愛子，教之以義方，弗納於邪
隱3.7,7,驕奢淫泆，所自邪也
隱3.7,8,四者之來，寵祿過也
隱3.7,9,將立州吁，乃定之矣
隱3.7,10,若猶未也，階之爲禍
隱3.7,11,夫寵而不驕，驕而能降，降而不憾，憾而能眕者，鮮矣
隱3.7,12,且夫賤妨貴，少陵長，遠間親，新間舊，小加大，淫破義，所謂六逆也
隱3.7,13,君義，臣行，父慈，子孝，兄愛，弟敬，所謂六順也
隱3.7,14,去順效逆，所以速禍也
隱3.7,15,君人者，將禍是務去，而速之，無乃不可乎
隱3.7,16,弗聽
隱3.7,17,其子厚與州吁游，禁之，不可
隱3.7,18,桓公立，乃老
隱4.1,0,四年春，衛州吁弒桓公而立
隱4.2,0,公與宋公爲會，將尋宿之盟
隱4.2,1,未及期，衛人來告亂
隱4.2,2,夏，公及宋公遇于清
隱4.3,0,宋殤公之即位也，公子馮出奔鄭
隱4.3,1,鄭人欲納之
隱4.3,2,及衛州吁立，將修先君之怨於鄭，而求寵於諸侯，以和其民
隱4.3,3,使告於宋曰：君若伐鄭，以除君害，君爲主，敝邑以賦與陳蔡從，則衛國之願也
隱4.3,4,宋人許之
隱4.3,5,於是陳蔡方睦於衛，故宋公陳侯蔡人衛人伐鄭，圍其東門，五日而還
隱4.3,6,公問於衆仲曰：衛州吁其成乎
隱4.3,7,對曰：臣聞以德和民，不聞以亂
隱4.3,8,以亂，猶治絲而棼之也
隱4.3,9,夫州吁，阻兵而安忍
隱4.3,10,阻兵，無衆
隱4.3,11,安忍，無親
隱4.3,12,衆叛親離，難以濟矣
隱4.3,13,夫兵，猶火也
隱4.3,14,弗戢，將自焚也
隱4.3,15,夫州吁弒其君，而虐用其民，於是乎不務令德，而欲以亂成，必不免矣
隱4.4,0,秋，諸侯復伐鄭
隱4.4,1,宋公使來乞師，公辭之
隱4.4,2,羽父請以師會之，公弗許
隱4.4,3,固請而行
隱4.4,4,故書曰，翬帥師，疾之也
隱4.4,5,諸侯之師敗鄭徒兵，取其禾而還
隱4.5,0,州吁未能和其民，厚問定君於石子
隱4.5,1,石子曰：王覲爲可
隱4.5,2,曰：何以得覲
隱4.5,3,曰：陳桓公方有寵於王
隱4.5,4,陳衛方睦，若朝陳使請，必可得也
隱4.6,0,衛人逆公子晉于邢
隱4.6,1,冬十二月宣公即位
隱4.6,2,書曰衛人立晉，衆也
隱5.1,0,五年春，公將如棠觀魚者
隱5.1,1,臧僖伯諫曰：凡物不足以講大事，其材不足以備器用，則君不舉焉
隱5.1,2,君，將納民於軌物者也
隱5.1,3,故講事以度軌量謂之軌，取材以章物采謂之物
隱5.1,4,不軌不物，謂之亂政
隱5.1,5,亂政亟行，所以敗也
隱5.2,0,曲沃莊伯以鄭人邢人伐翼，王使尹氏武氏助之
隱5.2,1,翼侯奔隨
隱5.3,0,夏，葬衛桓公
隱5.3,1,衛亂，是以緩
隱5.4,0,四月，鄭人侵衛牧，以報東門之役
隱5.4,1,衛人以燕師伐鄭，鄭祭足原繁洩駕以三軍軍其前，使曼伯與子元潛軍軍其後
隱5.4,2,燕人畏鄭三軍，而不虞制人
隱5.4,3,六月，鄭二公子以制人敗燕師于北制
隱5.4,4,君子曰：不備不虞，不可以師
隱5.5,0,曲沃叛王
隱5.5,1,秋，王命虢公伐曲沃，而立哀侯於翼
隱5.6,0,衛之亂也，郕人侵衛，故衛師入郕
隱5.7,0,九月，考仲子之宮，將萬焉
隱5.7,1,公問羽數於衆仲
隱5.7,2,對曰：天子用八，諸侯用六，大夫四，士二
隱5.7,3,夫舞，所以節八音而行八風，故自八以下
隱5.7,4,公從之
隱5.7,5,於是初獻六羽，始用六佾也
隱5.8,0,宋人取邾田
隱5.8,1,邾人告於鄭曰：請君釋憾於宋，敝邑爲道
隱5.8,2,鄭人以王師會之，伐宋，入其郛，以報東門之役
隱5.8,3,宋人使來告命
隱5.8,4,公聞其入郛也，將救之，問於使者曰：師何及
隱5.8,5,對曰：未及國
隱5.8,6,公怒，乃止
隱5.8,7,辭使者曰：君命寡人同恤社稷之難，今問諸使者，曰：師未及國，非寡人之所敢知也
隱5.9,0,冬十二月辛巳，臧僖伯卒
隱5.9,1,公曰：叔父有憾於寡人，寡人弗敢忘
隱5.9,2,葬之加一等
隱5.10,0,宋人伐鄭，圍長葛，以報入郛之役也
隱6.1,0,六年春，鄭人來渝平，更成也
隱6.2,0,翼九宗五正頃父之子嘉父逆晉侯于隨，納諸鄂，晉人謂之鄂侯
隱6.3,0,夏，盟于艾，始平于齊也
隱6.4,0,五月庚申，鄭伯侵陳，大獲
隱6.4,1,往歲，鄭伯請成于陳，陳侯不許
隱6.4,2,五父諫曰：親仁善鄰，國之寶也
隱6.4,3,君其許鄭
隱6.4,4,陳侯曰：宋衛實難，鄭何能爲
隱6.4,5,遂不許
隱6.4,6,君子曰：善不可失，惡不可長，其陳桓公之謂乎
隱6.4,7,長惡不悛，從自及也
隱6.4,8,雖欲救之，其將能乎
隱6.4,9,商書曰：惡之易也，如火之燎于原，不可鄉邇，其猶可撲滅
隱6.4,10,周任有言曰：爲國家者，見惡，如農夫之務去草焉，芟夷薀崇之，絕其本根，勿使能殖，則善者信矣
隱6.5,0,秋，宋人取長葛
隱6.6,0,冬，京師來告饑，公爲之請糴於宋衛齊鄭，禮也
隱6.7,0,鄭伯如周，始朝桓王也
隱6.7,1,王不禮焉
隱6.7,2,周桓公言於王曰：我周之東遷，晉鄭焉依
隱6.7,3,善鄭以勸來者，猶懼不蔇，況不禮焉
隱6.7,4,鄭不來矣
